"","filecoverage","totalcoverage"
"R/checkClass.R",57.14,62.84
"R/colPercent.R",100,62.84
"R/ds.asCharacter.R",93.75,62.84
"R/ds.asFactor.R",0,62.84
"R/ds.asList.R",100,62.84
"R/ds.asMatrix.R",0,62.84
"R/ds.asNumeric.R",0,62.84
"R/ds.assign.R",83.33,62.84
"R/ds.cbind.R",0,62.84
"R/ds.changeRefGroup.R",0,62.84
"R/ds.class.R",100,62.84
"R/ds.colnames.R",0,62.84
"R/ds.c.R",0,62.84
"R/ds.dataframe.R",75.86,62.84
"R/ds.dim.R",100,62.84
"R/ds.exists.R",85.71,62.84
"R/ds.exp.R",0,62.84
"R/ds.isNA.R",83.33,62.84
"R/ds.isValid.R",0,62.84
"R/ds.length.R",100,62.84
"R/ds.levels.R",0,62.84
"R/ds.list.R",90,62.84
"R/ds.log.R",0,62.84
"R/ds.ls.R",100,62.84
"R/ds.meanByClass.R",95.65,62.84
"R/ds.mean.R",100,62.84
"R/ds.names.R",72.73,62.84
"R/ds.numNA.R",0,62.84
"R/ds.quantileMean.R",100,62.84
"R/ds.recodeLevels.R",0,62.84
"R/ds.replaceNA.R",0,62.84
"R/ds.rowColCalc.R",91.89,62.84
"R/ds.subsetByClass.R",0,62.84
"R/ds.subset.R",31.82,62.84
"R/ds.summary.R",78.57,62.84
"R/ds.table1D.R",98.21,62.84
"R/ds.table2D.R",80,62.84
"R/ds.vectorCalc.R",0,62.84
"R/extract.R",100,62.84
"R/findLoginObjects.R",33.33,62.84
"R/getOpals.R",84,62.84
"R/getPooledMean.R",100,62.84
"R/getPooledVar.R",100,62.84
"R/isAssigned.R",71.43,62.84
"R/isDefined.R",88.89,62.84
"R/logical2int.R",0,62.84
"R/meanByClassHelper0a.R",88.89,62.84
"R/meanByClassHelper0b.R",91.67,62.84
"R/meanByClassHelper1.R",84.62,62.84
"R/meanByClassHelper2.R",85.71,62.84
"R/meanByClassHelper3.R",76.92,62.84
"R/meanByClassHelper4.R",78.57,62.84
"R/rowPercent.R",100,62.84
"R/subsetHelper.R",77.78,62.84
