"","filecoverage","totalcoverage"
"R/checkClass.R",100,58.44
"R/colPercent.R",100,58.44
"R/ds.asCharacter.R",70.59,58.44
"R/ds.asDataMatrix.R",70.59,58.44
"R/ds.asFactor.R",78.72,58.44
"R/ds.asInteger.R",72.97,58.44
"R/ds.asList.R",100,58.44
"R/ds.asLogical.R",70.59,58.44
"R/ds.asMatrix.R",70.59,58.44
"R/ds.asNumeric.R",72.97,58.44
"R/ds.assign.R",87.5,58.44
"R/ds.Boole.R",72,58.44
"R/ds.cbind.R",74.11,58.44
"R/ds.changeRefGroup.R",91.67,58.44
"R/ds.class.R",100,58.44
"R/ds.colnames.R",90.91,58.44
"R/ds.contourPlot.R",0,58.44
"R/ds.cor.R",96.26,58.44
"R/ds.corTest.R",94.74,58.44
"R/ds.cov.R",89.87,58.44
"R/ds.c.R",90,58.44
"R/ds.dataFrameFill.R",78.57,58.44
"R/ds.dataFrame.R",72.81,58.44
"R/ds.dataFrameSort.R",67.35,58.44
"R/ds.dataFrameSubset.R",62.64,58.44
"R/ds.densityGrid.R",0,58.44
"R/ds.dim.R",97.44,58.44
"R/ds.exists.R",100,58.44
"R/ds.exp.R",88.89,58.44
"R/ds.gee.R",0,58.44
"R/ds.glm.R",61.22,58.44
"R/ds.glmSLMA.R",74.04,58.44
"R/ds.heatmapPlot.R",0,58.44
"R/ds.histogram.R",0,58.44
"R/ds.isNA.R",83.33,58.44
"R/ds.isValid.R",93.75,58.44
"R/ds.length.R",97.37,58.44
"R/ds.levels.R",93.75,58.44
"R/ds.lexis.R",85.71,58.44
"R/ds.listClientsideFunctions.R",85.96,58.44
"R/ds.listDisclosureSettings.R",100,58.44
"R/ds.listOpals.R",0,58.44
"R/ds.list.R",90,58.44
"R/ds.listServersideFunctions.R",100,58.44
"R/ds.log.R",84.21,58.44
"R/ds.look.R",100,58.44
"R/ds.ls.R",100,58.44
"R/ds.make.R",68,58.44
"R/ds.matrixDet.R",70.91,58.44
"R/ds.matrixDet.report.R",100,58.44
"R/ds.matrixDiag.R",68.75,58.44
"R/ds.matrixDimnames.R",70.59,58.44
"R/ds.matrixInvert.R",70.59,58.44
"R/ds.matrixMult.R",69.81,58.44
"R/ds.matrix.R",67.69,58.44
"R/ds.matrixTranspose.R",70.59,58.44
"R/ds.meanByClass.R",82.61,58.44
"R/ds.mean.R",98.21,58.44
"R/ds.meanSdGp.R",89.38,58.44
"R/ds.merge.R",75.38,58.44
"R/ds.message.R",100,58.44
"R/ds.names.R",100,58.44
"R/ds.numNA.R",90.91,58.44
"R/ds.quantileMean.R",100,58.44
"R/ds.rbind.R",66.36,58.44
"R/ds.rBinom.R",67.59,58.44
"R/ds.recodeLevels.R",96.3,58.44
"R/ds.recodeValues.R",70.59,58.44
"R/ds.replaceNA.R",82.14,58.44
"R/ds.reShape.R",70,58.44
"R/ds.rm.R",100,58.44
"R/ds.rNorm.R",66.35,58.44
"R/ds.rowColCalc.R",91.89,58.44
"R/ds.rPois.R",67.35,58.44
"R/ds.rUnif.R",69.9,58.44
"R/ds.scatterPlot.R",0,58.44
"R/ds.seq.R",54.55,58.44
"R/ds.setDefaultOpals.R",0,58.44
"R/ds.setSeed.R",87.5,58.44
"R/ds.subsetByClass.R",93.33,58.44
"R/ds.subset.R",31.82,58.44
"R/ds.summary.R",70.24,58.44
"R/ds.table1D.R",83.93,58.44
"R/ds.table2D.R",82.56,58.44
"R/ds.tapply.assign.R",72.13,58.44
"R/ds.tapply.R",94.12,58.44
"R/ds.testObjExists.R",50,58.44
"R/ds.unList.R",100,58.44
"R/ds.var.R",100,58.44
"R/ds.vectorCalc.R",89.47,58.44
"R/extract.R",100,58.44
"R/findLoginObjects.R",33.33,58.44
"R/geeChecks.R",0,58.44
"R/geehelper1.R",0,58.44
"R/geehelper2.R",0,58.44
"R/getOpals.R",54.29,58.44
"R/getPooledMean.R",0,58.44
"R/getPooledVar.R",0,58.44
"R/glmChecks.R",0,58.44
"R/isAssigned.R",71.43,58.44
"R/isDefined.R",100,58.44
"R/logical2int.R",0,58.44
"R/meanByClassHelper0a.R",0,58.44
"R/meanByClassHelper0b.R",77.78,58.44
"R/meanByClassHelper1.R",84.62,58.44
"R/meanByClassHelper2.R",0,58.44
"R/meanByClassHelper3.R",0,58.44
"R/meanByClassHelper4.R",78.57,58.44
"R/rowPercent.R",100,58.44
"R/subsetHelper.R",77.78,58.44
