"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,52.04
"R/colPercent.R",100,52.04
"R/ds.asCharacter.R",70.59,52.04
"R/ds.asDataMatrix.R",70.59,52.04
"R/ds.asFactor.R",78.72,52.04
"R/ds.asInteger.R",70.59,52.04
"R/ds.asList.R",100,52.04
"R/ds.asLogical.R",70.59,52.04
"R/ds.asMatrix.R",70.59,52.04
"R/ds.asNumeric.R",70.59,52.04
"R/ds.assign.R",100,52.04
"R/ds.Boole.R",71.43,52.04
"R/ds.cbind.R",74.11,52.04
"R/ds.changeRefGroup.R",0,52.04
"R/ds.class.R",100,52.04
"R/ds.colnames.R",90.91,52.04
"R/ds.contourPlot.R",0,52.04
"R/ds.cor.R",96.26,52.04
"R/ds.corTest.R",0,52.04
"R/ds.cov.R",89.87,52.04
"R/ds.c.R",94.44,52.04
"R/ds.dataFrame.R",71.43,52.04
"R/ds.dataFrameSort.R",66.67,52.04
"R/ds.dataFrameSubset.R",62.64,52.04
"R/ds.densityGrid.R",0,52.04
"R/ds.dim.R",97.44,52.04
"R/ds.exists.R",100,52.04
"R/ds.exp.R",88.89,52.04
"R/ds.gee.R",0,52.04
"R/ds.glm.R",61.22,52.04
"R/ds.glmSLMA.R",70.54,52.04
"R/ds.heatmapPlot.R",0,52.04
"R/ds.histogram.R",0,52.04
"R/ds.isNA.R",83.33,52.04
"R/ds.isValid.R",93.75,52.04
"R/ds.length.R",97.37,52.04
"R/ds.levels.R",0,52.04
"R/ds.lexis.R",11.43,52.04
"R/ds.listClientsideFunctions.R",0,52.04
"R/ds.listDisclosureSettings.R",100,52.04
"R/ds.listOpals.R",0,52.04
"R/ds.list.R",90,52.04
"R/ds.listServersideFunctions.R",0,52.04
"R/ds.log.R",84.21,52.04
"R/ds.look.R",100,52.04
"R/ds.ls.R",100,52.04
"R/ds.make.R",68.75,52.04
"R/ds.matrixDet.R",70.91,52.04
"R/ds.matrixDet.report.R",100,52.04
"R/ds.matrixDiag.R",68.75,52.04
"R/ds.matrixDimnames.R",70.59,52.04
"R/ds.matrixInvert.R",70.59,52.04
"R/ds.matrixMult.R",69.81,52.04
"R/ds.matrix.R",67.69,52.04
"R/ds.matrixTranspose.R",70.59,52.04
"R/ds.meanByClass.R",0,52.04
"R/ds.mean.R",98.21,52.04
"R/ds.meanSdGp.R",89.38,52.04
"R/ds.merge.R",75.38,52.04
"R/ds.message.R",100,52.04
"R/ds.names.R",72.73,52.04
"R/ds.numNA.R",0,52.04
"R/ds.quantileMean.R",100,52.04
"R/ds.rbind.R",66.36,52.04
"R/ds.rBinom.R",66.98,52.04
"R/ds.recodeLevels.R",0,52.04
"R/ds.recodeValues.R",70.59,52.04
"R/ds.replaceNA.R",0,52.04
"R/ds.reShape.R",70,52.04
"R/ds.rm.R",100,52.04
"R/ds.rNorm.R",66.35,52.04
"R/ds.rowColCalc.R",91.89,52.04
"R/ds.rPois.R",67.35,52.04
"R/ds.rUnif.R",70.19,52.04
"R/ds.scatterPlot.R",0,52.04
"R/ds.seq.R",74.03,52.04
"R/ds.setDefaultOpals.R",0,52.04
"R/ds.setSeed.R",87.5,52.04
"R/ds.subsetByClass.R",0,52.04
"R/ds.subset.R",31.82,52.04
"R/ds.summary.R",70.24,52.04
"R/ds.table1D.R",100,52.04
"R/ds.table2D.R",82.56,52.04
"R/ds.tapply.assign.R",21.31,52.04
"R/ds.tapply.R",76.47,52.04
"R/ds.testObjExists.R",47.92,52.04
"R/ds.unList.R",100,52.04
"R/ds.var.R",100,52.04
"R/ds.vectorCalc.R",0,52.04
"R/extract.R",100,52.04
"R/findLoginObjects.R",33.33,52.04
"R/geeChecks.R",0,52.04
"R/geehelper1.R",0,52.04
"R/geehelper2.R",0,52.04
"R/getOpals.R",54.29,52.04
"R/getPooledMean.R",0,52.04
"R/getPooledVar.R",0,52.04
"R/glmChecks.R",0,52.04
"R/isAssigned.R",71.43,52.04
"R/isDefined.R",88.89,52.04
"R/logical2int.R",0,52.04
"R/meanByClassHelper0a.R",0,52.04
"R/meanByClassHelper0b.R",0,52.04
"R/meanByClassHelper1.R",0,52.04
"R/meanByClassHelper2.R",0,52.04
"R/meanByClassHelper3.R",0,52.04
"R/meanByClassHelper4.R",0,52.04
"R/rowPercent.R",100,52.04
"R/subsetHelper.R",77.78,52.04
