"","filecoverage","totalcoverage"
"R/checkClass.R",100,63.87
"R/colPercent.R",100,63.87
"R/computeWeightedMeans.R",0,63.87
"R/ds.abs.R",73.33,63.87
"R/ds.asCharacter.R",70.37,63.87
"R/ds.asDataMatrix.R",70.37,63.87
"R/ds.asFactor.R",76.79,63.87
"R/ds.asFactorSimple.R",66.67,63.87
"R/ds.asInteger.R",70.37,63.87
"R/ds.asList.R",90.91,63.87
"R/ds.asLogical.R",70.37,63.87
"R/ds.asMatrix.R",70.37,63.87
"R/ds.asNumeric.R",70.37,63.87
"R/ds.assign.R",80,63.87
"R/ds.auc.R",53.85,63.87
"R/ds.Boole.R",72.37,63.87
"R/ds.boxPlot.R",0,63.87
"R/ds.boxPlotGG_data_Treatment_numeric.R",0,63.87
"R/ds.boxPlotGG_data_Treatment.R",0,63.87
"R/ds.boxPlotGG_numeric.R",0,63.87
"R/ds.boxPlotGG_table.R",0,63.87
"R/ds.boxPlotGG.R",0,63.87
"R/ds.bp_standards.R",0,63.87
"R/ds.c.R",92.86,63.87
"R/ds.cbind.R",76.19,63.87
"R/ds.changeRefGroup.R",89.47,63.87
"R/ds.class.R",90,63.87
"R/ds.colnames.R",84.62,63.87
"R/ds.completeCases.R",69.09,63.87
"R/ds.contourPlot.R",0,63.87
"R/ds.cor.R",94.59,63.87
"R/ds.corTest.R",31.37,63.87
"R/ds.cov.R",95.06,63.87
"R/ds.dataFrame.R",76.47,63.87
"R/ds.dataFrameFill.R",83.54,63.87
"R/ds.dataFrameSort.R",64.15,63.87
"R/ds.dataFrameSubset.R",68.87,63.87
"R/ds.densityGrid.R",0,63.87
"R/ds.dim.R",97.44,63.87
"R/ds.dmtC2S.R",91.78,63.87
"R/ds.elspline.R",60,63.87
"R/ds.exists.R",88.89,63.87
"R/ds.exp.R",80,63.87
"R/ds.extractQuantiles.R",98.46,63.87
"R/ds.forestplot.R",0,63.87
"R/ds.gamlss.R",96.08,63.87
"R/ds.getWGSR.R",61.9,63.87
"R/ds.glm.R",61.52,63.87
"R/ds.glmerSLMA.R",78.12,63.87
"R/ds.glmPredict.R",79.66,63.87
"R/ds.glmSLMA.R",72.18,63.87
"R/ds.glmSummary.R",71.7,63.87
"R/ds.heatmapPlot.R",0,63.87
"R/ds.hetcor.R",70,63.87
"R/ds.histogram.R",0,63.87
"R/ds.igb_standards.R",0,63.87
"R/ds.isNA.R",82.61,63.87
"R/ds.isValid.R",84.62,63.87
"R/ds.kurtosis.R",93.1,63.87
"R/ds.length.R",94.12,63.87
"R/ds.levels.R",84.62,63.87
"R/ds.lexis.R",86.49,63.87
"R/ds.list.R",83.33,63.87
"R/ds.listClientsideFunctions.R",85.96,63.87
"R/ds.listDisclosureSettings.R",85.71,63.87
"R/ds.listOpals.R",0,63.87
"R/ds.listServersideFunctions.R",88.89,63.87
"R/ds.lmerSLMA.R",77.65,63.87
"R/ds.log.R",75,63.87
"R/ds.look.R",90.91,63.87
"R/ds.ls.R",98.08,63.87
"R/ds.lspline.R",61.54,63.87
"R/ds.make.R",67.31,63.87
"R/ds.matrix.R",67.16,63.87
"R/ds.matrixDet.R",70.69,63.87
"R/ds.matrixDet.report.R",92.31,63.87
"R/ds.matrixDiag.R",68.18,63.87
"R/ds.matrixDimnames.R",69.81,63.87
"R/ds.matrixInvert.R",69.81,63.87
"R/ds.matrixMult.R",69.09,63.87
"R/ds.matrixTranspose.R",69.81,63.87
"R/ds.mean.R",96.15,63.87
