"","filecoverage","totalcoverage"
"R/checkClass.R",100,62.31
"R/colPercent.R",100,62.31
"R/ds.asCharacter.R",70.59,62.31
"R/ds.asDataMatrix.R",70.59,62.31
"R/ds.asFactor.R",77.78,62.31
"R/ds.asInteger.R",70.59,62.31
"R/ds.asList.R",100,62.31
"R/ds.asLogical.R",70.59,62.31
"R/ds.asMatrix.R",70.59,62.31
"R/ds.asNumeric.R",70.59,62.31
"R/ds.assign.R",87.5,62.31
"R/ds.Boole.R",71.62,62.31
"R/ds.cbind.R",77.98,62.31
"R/ds.changeRefGroup.R",91.67,62.31
"R/ds.class.R",100,62.31
"R/ds.colnames.R",90.91,62.31
"R/ds.completeCases.R",69.23,62.31
"R/ds.contourPlot.R",0,62.31
"R/ds.cor.R",97.2,62.31
"R/ds.corTest.R",94.74,62.31
"R/ds.cov.R",96.2,62.31
"R/ds.c.R",94.44,62.31
"R/ds.dataFrameFill.R",44.64,62.31
"R/ds.dataFrame.R",78.05,62.31
"R/ds.dataFrameSort.R",62.75,62.31
"R/ds.dataFrameSubset.R",75.82,62.31
"R/ds.densityGrid.R",0,62.31
"R/ds.dim.R",97.44,62.31
"R/ds.exists.R",100,62.31
"R/ds.exp.R",88.89,62.31
"R/ds.glmerSLMA.R",76.67,62.31
"R/ds.glm.R",61.81,62.31
"R/ds.glmSLMA.R",81.25,62.31
"R/ds.heatmapPlot.R",0,62.31
"R/ds.histogram.R",0,62.31
"R/ds.isNA.R",83.33,62.31
"R/ds.isValid.R",93.75,62.31
"R/ds.length.R",97.37,62.31
"R/ds.levels.R",93.75,62.31
"R/ds.lexis.R",85.71,62.31
"R/ds.listClientsideFunctions.R",85.96,62.31
"R/ds.listDisclosureSettings.R",100,62.31
"R/ds.listOpals.R",0,62.31
"R/ds.list.R",85,62.31
"R/ds.listServersideFunctions.R",100,62.31
"R/ds.lmerSLMA.R",79.5,62.31
"R/ds.log.R",84.21,62.31
"R/ds.look.R",100,62.31
"R/ds.ls.R",100,62.31
"R/ds.make.R",68,62.31
"R/ds.matrixDet.R",70.91,62.31
"R/ds.matrixDet.report.R",100,62.31
"R/ds.matrixDiag.R",68.75,62.31
"R/ds.matrixDimnames.R",70.59,62.31
"R/ds.matrixInvert.R",70.59,62.31
"R/ds.matrixMult.R",69.81,62.31
"R/ds.matrix.R",67.69,62.31
"R/ds.matrixTranspose.R",70.59,62.31
"R/ds.meanByClass.R",87.5,62.31
"R/ds.mean.R",98.21,62.31
"R/ds.meanSdGp.R",89.38,62.31
"R/ds.merge.R",75.38,62.31
"R/ds.message.R",100,62.31
"R/ds.names.R",100,62.31
"R/ds.numNA.R",90.91,62.31
"R/ds.quantileMean.R",100,62.31
"R/ds.rbind.R",66.36,62.31
"R/ds.rBinom.R",67.59,62.31
"R/ds.recodeLevels.R",96.97,62.31
"R/ds.recodeValues.R",70.59,62.31
"R/ds.replaceNA.R",82.14,62.31
"R/ds.rep.R",68.97,62.31
"R/ds.reShape.R",70,62.31
"R/ds.rm.R",100,62.31
"R/ds.rNorm.R",66.35,62.31
"R/ds.rowColCalc.R",91.89,62.31
"R/ds.rPois.R",67.35,62.31
"R/ds.rUnif.R",66.02,62.31
"R/ds.sample.R",79.27,62.31
"R/ds.scatterPlot.R",0,62.31
"R/ds.seq.R",72.94,62.31
"R/ds.setDefaultOpals.R",0,62.31
"R/ds.setSeed.R",87.5,62.31
"R/ds.subsetByClass.R",93.55,62.31
"R/ds.subset.R",57.78,62.31
"R/ds.summary.R",70.59,62.31
"R/ds.table1D.R",84.21,62.31
"R/ds.table2D.R",82.76,62.31
"R/ds.table.R",40.37,62.31
"R/ds.tapply.assign.R",72.13,62.31
"R/ds.tapply.R",94.12,62.31
"R/ds.testObjExists.R",66.67,62.31
"R/ds.unList.R",78.43,62.31
"R/ds.var.R",100,62.31
"R/ds.vectorCalc.R",90,62.31
"R/extract.R",100,62.31
"R/getPooledMean.R",76.92,62.31
"R/getPooledVar.R",71.43,62.31
"R/glmChecks.R",47.62,62.31
"R/isAssigned.R",71.43,62.31
"R/isDefined.R",100,62.31
"R/logical2int.R",28.57,62.31
"R/meanByClassHelper0a.R",0,62.31
"R/meanByClassHelper0b.R",85.71,62.31
"R/meanByClassHelper1.R",84.62,62.31
"R/meanByClassHelper2.R",57.14,62.31
"R/meanByClassHelper3.R",79.49,62.31
"R/meanByClassHelper4.R",78.57,62.31
"R/rowPercent.R",100,62.31
"R/subsetHelper.R",77.78,62.31
