"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,56.39
"R/colPercent.R",100,56.39
"R/ds.asCharacter.o.R",70.59,56.39
"R/ds.asDataMatrix.o.R",70.59,56.39
"R/ds.asFactor.o.R",78.72,56.39
"R/ds.asInteger.o.R",70.59,56.39
"R/ds.asList.o.R",100,56.39
"R/ds.asLogical.o.R",70.59,56.39
"R/ds.asMatrix.o.R",70.59,56.39
"R/ds.asNumeric.o.R",70.59,56.39
"R/ds.Boole.o.R",71.43,56.39
"R/ds.cbind.o.R",74.11,56.39
"R/ds.cor.o.R",96.26,56.39
"R/ds.cov.o.R",89.87,56.39
"R/ds.dataFrame.o.R",73.21,56.39
"R/ds.dataFrameSort.o.R",66.67,56.39
"R/ds.dataFrameSubset.o.R",62.64,56.39
"R/ds.dim.o.R",97.44,56.39
"R/ds.glm.o.R",65.71,56.39
"R/ds.glmSLMA.o.R",82.52,56.39
"R/ds.histogram.o.R",0,56.39
"R/ds.length.o.R",97.37,56.39
"R/ds.lexis.o.R",11.43,56.39
"R/ds.listClientsideFunctions.o.R",0,56.39
"R/ds.listDisclosureSettings.o.R",100,56.39
"R/ds.listOpals.o.R",0,56.39
"R/ds.listServersideFunctions.o.R",100,56.39
"R/ds.look.o.R",100,56.39
"R/ds.make.o.R",68.75,56.39
"R/ds.matrixDet.R",70.91,56.39
"R/ds.matrixDet.report.R",100,56.39
"R/ds.matrixDiag.R",68.75,56.39
"R/ds.matrixDimnames.R",70.59,56.39
"R/ds.matrixInvert.R",70.59,56.39
"R/ds.matrixMult.R",69.81,56.39
"R/ds.matrix.R",67.69,56.39
"R/ds.matrixTranspose.R",70.59,56.39
"R/ds.mean.o.R",98.21,56.39
"R/ds.meanSdGp.R",89.38,56.39
"R/ds.merge.o.R",75.38,56.39
"R/ds.message.o.R",100,56.39
"R/ds.rbind.o.R",66.36,56.39
"R/ds.rBinom.o.R",66.98,56.39
"R/ds.recodeValues.o.R",77.65,56.39
"R/ds.reShape.o.R",70,56.39
"R/ds.rilm.b.R",0,56.39
"R/ds.rm.o.R",100,56.39
"R/ds.rNorm.o.R",66.35,56.39
"R/ds.rPois.o.R",72.45,56.39
"R/ds.rUnif.o.R",71.15,56.39
"R/ds.scatterPlot.o.R",0,56.39
"R/ds.seq.o.R",74.03,56.39
"R/ds.setDefaultOpals.o.R",0,56.39
"R/ds.setSeed.o.R",87.5,56.39
"R/ds.table2D.o.R",82.56,56.39
"R/ds.tapply.assign.o.R",21.31,56.39
"R/ds.tapply.o.R",76.47,56.39
"R/ds.testObjExists.o.R",47.92,56.39
"R/ds.tTestF.R",0,56.39
"R/ds.unList.o.R",100,56.39
"R/ds.var.o.R",100,56.39
"R/extract.R",100,56.39
"R/findLoginObjects.R",33.33,56.39
"R/getOpals.R",54.29,56.39
"R/getPooledMean.R",0,56.39
"R/getPooledVar.R",0,56.39
"R/glmChecks.R",0,56.39
"R/isAssigned.R",0,56.39
"R/isDefined.R",88.89,56.39
"R/logical2int.R",0,56.39
"R/rowPercent.R",100,56.39
"R/subsetHelper.R",0,56.39
"R/tTestHelper1.R",0,56.39
"R/tTestHelper2.R",0,56.39
