"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,50.35
"R/colPercent.R",100,50.35
"R/ds.asCharacter.o.R",70.59,50.35
"R/ds.asDataMatrix.o.R",70.59,50.35
"R/ds.asFactor.o.R",76.6,50.35
"R/ds.asInteger.o.R",70.59,50.35
"R/ds.asList.o.R",100,50.35
"R/ds.asLogical.o.R",70.59,50.35
"R/ds.asMatrix.o.R",70.59,50.35
"R/ds.asNumeric.o.R",70.59,50.35
"R/ds.Boole.o.R",67.14,50.35
"R/ds.cbind.o.R",67.86,50.35
"R/ds.cor.o.R",88.79,50.35
"R/ds.cov.o.R",89.87,50.35
"R/ds.dataFrame.o.R",69.64,50.35
"R/ds.dataFrameSort.o.R",66.67,50.35
"R/ds.dataFrameSubset.o.R",61.54,50.35
"R/ds.dim.o.R",79.49,50.35
"R/ds.glm.o.R",56.41,50.35
"R/ds.glmSLMA.o.R",82.52,50.35
"R/ds.histogram.o.R",0,50.35
"R/ds.length.o.R",92.11,50.35
"R/ds.lexis.o.R",0,50.35
"R/ds.listClientsideFunctions.o.R",0,50.35
"R/ds.listDisclosureSettings.o.R",100,50.35
"R/ds.listOpals.o.R",0,50.35
"R/ds.listServersideFunctions.o.R",100,50.35
"R/ds.look.o.R",100,50.35
"R/ds.make.o.R",66.67,50.35
"R/ds.matrixDet.R",69.09,50.35
"R/ds.matrixDet.report.R",90.91,50.35
"R/ds.matrixDiag.R",0,50.35
"R/ds.matrixDimnames.R",68.63,50.35
"R/ds.matrixInvert.R",68.63,50.35
"R/ds.matrixMult.R",67.92,50.35
"R/ds.matrix.R",66.15,50.35
"R/ds.matrixTranspose.R",68.63,50.35
"R/ds.mean.o.R",94.83,50.35
"R/ds.meanSdGp.R",88.5,50.35
"R/ds.merge.o.R",0,50.35
"R/ds.message.o.R",100,50.35
"R/ds.rbind.o.R",66.36,50.35
"R/ds.rBinom.o.R",66.98,50.35
"R/ds.recodeValues.o.R",70.59,50.35
"R/ds.reShape.o.R",0,50.35
"R/ds.rilm.b.R",0,50.35
"R/ds.rm.o.R",100,50.35
"R/ds.rNorm.o.R",66.35,50.35
"R/ds.rPois.o.R",67.35,50.35
"R/ds.rUnif.o.R",66.35,50.35
"R/ds.scatterPlot.o.R",0,50.35
"R/ds.seq.o.R",74.03,50.35
"R/ds.setDefaultOpals.o.R",0,50.35
"R/ds.setSeed.o.R",75,50.35
"R/ds.table2D.o.R",81.4,50.35
"R/ds.tapply.assign.o.R",0,50.35
"R/ds.tapply.o.R",0,50.35
"R/ds.testObjExists.o.R",43.75,50.35
"R/ds.tTestF.R",0,50.35
"R/ds.unList.o.R",100,50.35
"R/ds.var.o.R",84.21,50.35
"R/extract.R",100,50.35
"R/findLoginObjects.R",33.33,50.35
"R/getOpals.R",54.29,50.35
"R/getPooledMean.R",0,50.35
"R/getPooledVar.R",0,50.35
"R/glmChecks.R",0,50.35
"R/isAssigned.R",0,50.35
"R/isDefined.R",88.89,50.35
"R/logical2int.R",0,50.35
"R/rowPercent.R",100,50.35
"R/subsetHelper.R",0,50.35
"R/tTestHelper1.R",0,50.35
"R/tTestHelper2.R",0,50.35
