"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,50.75
"R/colPercent.R",100,50.75
"R/ds.asCharacter.o.R",70.59,50.75
"R/ds.asDataMatrix.o.R",70.59,50.75
"R/ds.asFactor.o.R",76.6,50.75
"R/ds.asInteger.o.R",70.59,50.75
"R/ds.asList.o.R",100,50.75
"R/ds.asLogical.o.R",70.59,50.75
"R/ds.asMatrix.o.R",70.59,50.75
"R/ds.asNumeric.o.R",70.59,50.75
"R/ds.Boole.o.R",67.14,50.75
"R/ds.cbind.o.R",67.86,50.75
"R/ds.cor.o.R",88.79,50.75
"R/ds.cov.o.R",89.87,50.75
"R/ds.dataFrame.o.R",69.64,50.75
"R/ds.dataFrameSort.o.R",66.67,50.75
"R/ds.dataFrameSubset.o.R",61.54,50.75
"R/ds.dim.o.R",79.49,50.75
"R/ds.glm.o.R",56.41,50.75
"R/ds.glmSLMA.o.R",82.52,50.75
"R/ds.histogram.o.R",0,50.75
"R/ds.length.o.R",92.11,50.75
"R/ds.lexis.o.R",11.43,50.75
"R/ds.listClientsideFunctions.o.R",0,50.75
"R/ds.listDisclosureSettings.o.R",100,50.75
"R/ds.listOpals.o.R",0,50.75
"R/ds.listServersideFunctions.o.R",100,50.75
"R/ds.look.o.R",100,50.75
"R/ds.make.o.R",68.75,50.75
"R/ds.matrixDet.R",70.91,50.75
"R/ds.matrixDet.report.R",100,50.75
"R/ds.matrixDiag.R",0,50.75
"R/ds.matrixDimnames.R",70.59,50.75
"R/ds.matrixInvert.R",70.59,50.75
"R/ds.matrixMult.R",69.81,50.75
"R/ds.matrix.R",67.69,50.75
"R/ds.matrixTranspose.R",70.59,50.75
"R/ds.mean.o.R",94.83,50.75
"R/ds.meanSdGp.R",89.38,50.75
"R/ds.merge.o.R",0,50.75
"R/ds.message.o.R",100,50.75
"R/ds.rbind.o.R",66.36,50.75
"R/ds.rBinom.o.R",66.98,50.75
"R/ds.recodeValues.o.R",70.59,50.75
"R/ds.reShape.o.R",0,50.75
"R/ds.rilm.b.R",0,50.75
"R/ds.rm.o.R",100,50.75
"R/ds.rNorm.o.R",66.35,50.75
"R/ds.rPois.o.R",67.35,50.75
"R/ds.rUnif.o.R",66.35,50.75
"R/ds.scatterPlot.o.R",0,50.75
"R/ds.seq.o.R",74.03,50.75
"R/ds.setDefaultOpals.o.R",0,50.75
"R/ds.setSeed.o.R",87.5,50.75
"R/ds.table2D.o.R",82.56,50.75
"R/ds.tapply.assign.o.R",0,50.75
"R/ds.tapply.o.R",0,50.75
"R/ds.testObjExists.o.R",43.75,50.75
"R/ds.tTestF.R",0,50.75
"R/ds.unList.o.R",100,50.75
"R/ds.var.o.R",87.72,50.75
"R/extract.R",100,50.75
"R/findLoginObjects.R",33.33,50.75
"R/getOpals.R",54.29,50.75
"R/getPooledMean.R",0,50.75
"R/getPooledVar.R",0,50.75
"R/glmChecks.R",0,50.75
"R/isAssigned.R",0,50.75
"R/isDefined.R",88.89,50.75
"R/logical2int.R",0,50.75
"R/rowPercent.R",100,50.75
"R/subsetHelper.R",0,50.75
"R/tTestHelper1.R",0,50.75
"R/tTestHelper2.R",0,50.75
