"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,50.42
"R/colPercent.R",100,50.42
"R/ds.asCharacter.o.R",70.59,50.42
"R/ds.asDataMatrix.o.R",70.59,50.42
"R/ds.asFactor.o.R",76.6,50.42
"R/ds.asInteger.o.R",70.59,50.42
"R/ds.asList.o.R",100,50.42
"R/ds.asLogical.o.R",70.59,50.42
"R/ds.asMatrix.o.R",70.59,50.42
"R/ds.asNumeric.o.R",70.59,50.42
"R/ds.Boole.o.R",67.14,50.42
"R/ds.cbind.o.R",67.86,50.42
"R/ds.cor.o.R",88.79,50.42
"R/ds.cov.o.R",89.87,50.42
"R/ds.dataFrame.o.R",69.64,50.42
"R/ds.dataFrameSort.o.R",66.67,50.42
"R/ds.dataFrameSubset.o.R",61.54,50.42
"R/ds.dim.o.R",79.49,50.42
"R/ds.glm.o.R",56.41,50.42
"R/ds.glmSLMA.o.R",82.52,50.42
"R/ds.histogram.o.R",0,50.42
"R/ds.length.o.R",92.11,50.42
"R/ds.lexis.o.R",0,50.42
"R/ds.listClientsideFunctions.o.R",0,50.42
"R/ds.listDisclosureSettings.o.R",100,50.42
"R/ds.listOpals.o.R",0,50.42
"R/ds.listServersideFunctions.o.R",100,50.42
"R/ds.look.o.R",100,50.42
"R/ds.make.o.R",66.67,50.42
"R/ds.matrixDet.R",69.09,50.42
"R/ds.matrixDet.report.R",100,50.42
"R/ds.matrixDiag.R",0,50.42
"R/ds.matrixDimnames.R",68.63,50.42
"R/ds.matrixInvert.R",68.63,50.42
"R/ds.matrixMult.R",67.92,50.42
"R/ds.matrix.R",66.15,50.42
"R/ds.matrixTranspose.R",68.63,50.42
"R/ds.mean.o.R",94.83,50.42
"R/ds.meanSdGp.R",88.5,50.42
"R/ds.merge.o.R",0,50.42
"R/ds.message.o.R",100,50.42
"R/ds.rbind.o.R",66.36,50.42
"R/ds.rBinom.o.R",66.98,50.42
"R/ds.recodeValues.o.R",70.59,50.42
"R/ds.reShape.o.R",0,50.42
"R/ds.rilm.b.R",0,50.42
"R/ds.rm.o.R",100,50.42
"R/ds.rNorm.o.R",66.35,50.42
"R/ds.rPois.o.R",67.35,50.42
"R/ds.rUnif.o.R",66.35,50.42
"R/ds.scatterPlot.o.R",0,50.42
"R/ds.seq.o.R",74.03,50.42
"R/ds.setDefaultOpals.o.R",0,50.42
"R/ds.setSeed.o.R",75,50.42
"R/ds.table2D.o.R",81.4,50.42
"R/ds.tapply.assign.o.R",0,50.42
"R/ds.tapply.o.R",0,50.42
"R/ds.testObjExists.o.R",43.75,50.42
"R/ds.tTestF.R",0,50.42
"R/ds.unList.o.R",100,50.42
"R/ds.var.o.R",87.72,50.42
"R/extract.R",100,50.42
"R/findLoginObjects.R",33.33,50.42
"R/getOpals.R",54.29,50.42
"R/getPooledMean.R",0,50.42
"R/getPooledVar.R",0,50.42
"R/glmChecks.R",0,50.42
"R/isAssigned.R",0,50.42
"R/isDefined.R",88.89,50.42
"R/logical2int.R",0,50.42
"R/rowPercent.R",100,50.42
"R/subsetHelper.R",0,50.42
"R/tTestHelper1.R",0,50.42
"R/tTestHelper2.R",0,50.42
