"","filecoverage","totalcoverage"
"R/checkClass.R",57.14,13.8
"R/colPercent.R",100,13.8
"R/ds.asCharacter.o.R",0,13.8
"R/ds.asCharacter.R",93.75,13.8
"R/ds.asDataMatrix.o.R",0,13.8
"R/ds.asFactor.o.R",0,13.8
"R/ds.asFactor.R",0,13.8
"R/ds.asInteger.o.R",0,13.8
"R/ds.asList.o.R",0,13.8
"R/ds.asList.R",100,13.8
"R/ds.asLogical.o.R",0,13.8
"R/ds.asMatrix.o.R",0,13.8
"R/ds.asMatrix.R",0,13.8
"R/ds.asNumeric.o.R",0,13.8
"R/ds.asNumeric.R",0,13.8
"R/ds.assign.R",83.33,13.8
"R/ds.Boole.o.R",0,13.8
"R/ds.cbind.o.R",0,13.8
"R/ds.cbind.R",0,13.8
"R/ds.changeRefGroup.R",0,13.8
"R/ds.class.R",100,13.8
"R/ds.colnames.R",0,13.8
"R/ds.contourPlot.R",0,13.8
"R/ds.cor.o.R",0,13.8
"R/ds.corTest.R",0,13.8
"R/ds.cov.o.R",0,13.8
"R/ds.c.R",0,13.8
"R/ds.dataFrame.o.R",0,13.8
"R/ds.dataframe.R",75.86,13.8
"R/ds.dataFrameSort.o.R",0,13.8
"R/ds.dataFrameSubset.o.R",0,13.8
"R/ds.densityGrid.R",0,13.8
"R/ds.dim.o.R",0,13.8
"R/ds.dim.R",100,13.8
"R/ds.exists.R",85.71,13.8
"R/ds.exp.R",0,13.8
"R/ds.gee.R",0,13.8
"R/ds.glm.o.R",0,13.8
"R/ds.glmSLMA.o.R",0,13.8
"R/ds.heatmapPlot.R",0,13.8
"R/ds.histogram.o.R",0,13.8
"R/ds.isNA.R",83.33,13.8
"R/ds.isValid.R",0,13.8
"R/ds.length.o.R",0,13.8
"R/ds.length.R",100,13.8
"R/ds.levels.R",0,13.8
"R/ds.lexis.R",0,13.8
"R/ds.listClientsideFunctions.o.R",0,13.8
"R/ds.listDisclosureSettings.o.R",0,13.8
"R/ds.listOpals.o.R",0,13.8
"R/ds.list.R",90,13.8
"R/ds.listServersideFunctions.o.R",0,13.8
"R/ds.log.R",0,13.8
"R/ds.look.o.R",0,13.8
"R/ds.ls.R",100,13.8
"R/ds.make.o.R",0,13.8
"R/ds.matrixDet.R",0,13.8
"R/ds.matrixDet.report.R",0,13.8
"R/ds.matrixDiag.R",0,13.8
"R/ds.matrixDimnames.R",0,13.8
"R/ds.matrixInvert.R",0,13.8
"R/ds.matrixMult.R",0,13.8
"R/ds.matrix.R",0,13.8
"R/ds.matrixTranspose.R",0,13.8
"R/ds.meanByClass.R",95.65,13.8
"R/ds.mean.o.R",0,13.8
"R/ds.mean.R",100,13.8
"R/ds.meanSdGp.R",0,13.8
"R/ds.merge.o.R",0,13.8
"R/ds.message.o.R",0,13.8
"R/ds.names.R",72.73,13.8
"R/ds.numNA.R",0,13.8
"R/ds.quantileMean.R",100,13.8
"R/ds.rbind.o.R",0,13.8
"R/ds.rBinom.o.R",0,13.8
"R/ds.recodeLevels.R",0,13.8
"R/ds.recodeValues.o.R",0,13.8
"R/ds.replaceNA.R",0,13.8
"R/ds.reShape.o.R",0,13.8
"R/ds.rm.o.R",0,13.8
"R/ds.rNorm.o.R",0,13.8
"R/ds.rowColCalc.R",91.89,13.8
"R/ds.rPois.o.R",0,13.8
"R/ds.rUnif.o.R",0,13.8
"R/ds.scatterPlot.o.R",0,13.8
"R/ds.seq.o.R",0,13.8
"R/ds.setDefaultOpals.o.R",0,13.8
"R/ds.setSeed.o.R",0,13.8
"R/ds.subsetByClass.R",0,13.8
"R/ds.subset.R",31.82,13.8
"R/ds.summary.R",78.57,13.8
"R/ds.table1D.R",98.21,13.8
"R/ds.table2D.o.R",0,13.8
"R/ds.table2D.R",80,13.8
"R/ds.tapply.assign.o.R",0,13.8
"R/ds.tapply.o.R",0,13.8
"R/ds.testObjExists.o.R",0,13.8
"R/ds.tTest.R",0,13.8
"R/ds.unList.o.R",0,13.8
"R/ds.var.o.R",0,13.8
"R/ds.vectorCalc.R",0,13.8
"R/extract.R",100,13.8
"R/findLoginObjects.R",33.33,13.8
"R/geeChecks.R",0,13.8
"R/geehelper1.R",0,13.8
"R/geehelper2.R",0,13.8
"R/getOpals.R",54.29,13.8
"R/getPooledMean.R",100,13.8
"R/getPooledVar.R",100,13.8
"R/glmChecks.R",0,13.8
"R/isAssigned.R",71.43,13.8
"R/isDefined.R",88.89,13.8
"R/lexisHelper1.R",0,13.8
"R/logical2int.R",0,13.8
"R/meanByClassHelper0a.R",88.89,13.8
"R/meanByClassHelper0b.R",91.67,13.8
"R/meanByClassHelper1.R",84.62,13.8
"R/meanByClassHelper2.R",85.71,13.8
"R/meanByClassHelper3.R",76.92,13.8
"R/meanByClassHelper4.R",78.57,13.8
"R/rowPercent.R",100,13.8
"R/subsetHelper.R",77.78,13.8
