"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,53.27
"R/colPercent.R",100,53.27
"R/ds.asCharacter.R",70.59,53.27
"R/ds.asDataMatrix.R",70.59,53.27
"R/ds.asFactor.R",78.72,53.27
"R/ds.asInteger.R",70.59,53.27
"R/ds.asList.R",100,53.27
"R/ds.asLogical.R",70.59,53.27
"R/ds.asMatrix.R",70.59,53.27
"R/ds.asNumeric.R",70.59,53.27
"R/ds.assign.R",83.33,53.27
"R/ds.Boole.R",71.43,53.27
"R/ds.cbind.R",74.11,53.27
"R/ds.changeRefGroup.R",0,53.27
"R/ds.class.R",100,53.27
"R/ds.colnames.R",0,53.27
"R/ds.contourPlot.R",0,53.27
"R/ds.cor.R",96.26,53.27
"R/ds.corTest.R",0,53.27
"R/ds.cov.R",89.87,53.27
"R/ds.c.R",0,53.27
"R/ds.dataframe.R",71.43,53.27
"R/ds.dataFrameSort.R",66.67,53.27
"R/ds.dataFrameSubset.R",62.64,53.27
"R/ds.densityGrid.R",0,53.27
"R/ds.dim.R",97.44,53.27
"R/ds.exists.R",85.71,53.27
"R/ds.exp.R",0,53.27
"R/ds.gee.R",0,53.27
"R/ds.glm.R",65.71,53.27
"R/ds.glmSLMA.R",82.52,53.27
"R/ds.heatmapPlot.R",0,53.27
"R/ds.histogram.R",0,53.27
"R/ds.isNA.R",83.33,53.27
"R/ds.isValid.R",0,53.27
"R/ds.length.R",97.37,53.27
"R/ds.levels.R",0,53.27
"R/ds.listClientsideFunctions.R",0,53.27
"R/ds.listDisclosureSettings.R",100,53.27
"R/ds.listOpals.R",0,53.27
"R/ds.list.R",90,53.27
"R/ds.listServersideFunctions.R",0,53.27
"R/ds.log.R",0,53.27
"R/ds.look.R",100,53.27
"R/ds.ls.R",80,53.27
"R/ds.make.R",68.75,53.27
"R/ds.matrixDet.R",70.91,53.27
"R/ds.matrixDet.report.R",100,53.27
"R/ds.matrixDiag.R",68.75,53.27
"R/ds.matrixDimnames.R",70.59,53.27
"R/ds.matrixInvert.R",70.59,53.27
"R/ds.matrixMult.R",69.81,53.27
"R/ds.matrix.R",67.69,53.27
"R/ds.matrixTranspose.R",70.59,53.27
"R/ds.meanByClass.R",0,53.27
"R/ds.mean.R",96.43,53.27
"R/ds.meanSdGp.R",89.38,53.27
"R/ds.merge.R",75.38,53.27
"R/ds.message.R",100,53.27
"R/ds.names.R",72.73,53.27
"R/ds.numNA.R",0,53.27
"R/ds.quantileMean.R",100,53.27
"R/ds.rbind.R",66.36,53.27
"R/ds.rBinom.R",66.98,53.27
"R/ds.recodeLevels.R",0,53.27
"R/ds.recodeValues.R",70.59,53.27
"R/ds.replaceNA.R",0,53.27
"R/ds.reShape.R",70,53.27
"R/ds.rm.R",100,53.27
"R/ds.rNorm.R",66.35,53.27
"R/ds.rowColCalc.R",91.89,53.27
"R/ds.rPois.R",67.35,53.27
"R/ds.rUnif.R",66.35,53.27
"R/ds.scatterPlot.R",0,53.27
"R/ds.seq.R",74.03,53.27
"R/ds.setDefaultOpals.R",0,53.27
"R/ds.setSeed.R",87.5,53.27
"R/ds.subsetByClass.R",0,53.27
"R/ds.subset.R",31.82,53.27
"R/ds.summary.R",70.24,53.27
"R/ds.table1D.R",100,53.27
"R/ds.table2D.R",82.56,53.27
"R/ds.tapply.assign.R",21.31,53.27
"R/ds.tapply.R",76.47,53.27
"R/ds.testObjExists.R",47.92,53.27
"R/ds.unList.R",100,53.27
"R/ds.var.R",98.25,53.27
"R/ds.vectorCalc.R",0,53.27
"R/extract.R",100,53.27
"R/findLoginObjects.R",33.33,53.27
"R/geeChecks.R",0,53.27
"R/geehelper1.R",0,53.27
"R/geehelper2.R",0,53.27
"R/getOpals.R",54.29,53.27
"R/getPooledMean.R",0,53.27
"R/getPooledVar.R",0,53.27
"R/glmChecks.R",0,53.27
"R/isAssigned.R",71.43,53.27
"R/isDefined.R",88.89,53.27
"R/lexisHelper1.R",0,53.27
"R/logical2int.R",0,53.27
"R/meanByClassHelper0a.R",0,53.27
"R/meanByClassHelper0b.R",0,53.27
"R/meanByClassHelper1.R",0,53.27
"R/meanByClassHelper2.R",0,53.27
"R/meanByClassHelper3.R",0,53.27
"R/meanByClassHelper4.R",0,53.27
"R/rowPercent.R",100,53.27
"R/subsetHelper.R",77.78,53.27
